,gene_nr,selection,rank,marker_rank,tree_rank,importance_score,pca_score,pre_selected,prior_selected,pca_selected,celltypes_DE_1vsall,celltypes_DE_specific,celltypes_DE,celltypes_marker,list_only_ct_marker,required_marker,required_list_marker
TPSB2,1,True,1.0,1.0,1.0,0.9828078959177634,0.24043504790362052,False,False,False,Mast,,Mast,Mast,False,True,False
CCL21,2,True,1.0,1.0,1.0,0.9549290717349419,0.47029716862827403,False,False,False,Lymphatic,,Lymphatic,Lymphatic,False,True,False
GRP,3,True,1.0,1.0,1.0,0.9461056785526782,0.003447933996470112,False,False,False,PNEC,,PNEC,PNEC,False,True,False
EMP2,4,True,1.0,1.0,1.0,0.944209234014275,0.42738482763819524,False,False,False,ATI,,ATI,ATI,False,True,False
HYDIN,5,True,1.0,1.0,1.0,0.9077796426808347,0.4156706120083491,False,False,False,,Ciliated,Ciliated,Ciliated,False,True,False
MIR205HG,6,True,1.0,1.0,1.0,0.8638678054594795,0.13655638344510806,False,False,False,Basal,,Basal,Basal,False,True,False
TPM2,7,True,1.0,1.0,1.0,0.8573635239899156,0.21302101831459733,False,False,False,SMC,,SMC,SMC,False,True,False
ZNF385D,8,True,1.0,1.0,1.0,0.8174684888878622,0.2468804145395007,False,False,False,,VE_Peribronchial,VE_Peribronchial,VE_Peribronchial,False,True,False
FCN3,9,True,1.0,1.0,1.0,0.813427335505744,0.2643747545887304,False,False,False,VE_Capillary_B,,VE_Capillary_B,VE_Capillary_B,False,True,False
S100B,10,True,1.0,1.0,1.0,0.8108175553700989,0.17657516314833113,False,False,False,DC_Langerhans,,DC_Langerhans,DC_Langerhans,False,True,False
GZMB,11,True,1.0,1.0,1.0,0.7809428859267918,0.6700397396618849,False,False,True,pDC,,pDC,pDC,False,True,False
DCN,12,True,1.0,1.0,1.0,0.7632116518229237,0.7459178987833492,False,False,True,"Fibroblast,Myofibroblast",,"Fibroblast,Myofibroblast","Fibroblast,Myofibroblast",False,True,False
TNFRSF13C,13,True,1.0,1.0,1.0,0.6927358940451283,0.6409573526744928,False,False,True,B,,B,B,False,True,False
SCGB3A1,14,True,1.0,1.0,1.0,0.6617174809038516,1.3817814042870358,False,False,True,Goblet,,Goblet,Goblet,False,True,False
PACRG,15,True,1.0,1.0,1.0,0.659829542509256,0.34901883448810844,False,False,False,Ionocyte,,Ionocyte,Ionocyte,False,True,False
SFTPC,16,True,1.0,1.0,1.0,0.6339951287290291,1.4863018556465013,False,False,True,,ATII,ATII,ATII,False,True,False
NKG7,17,True,1.0,1.0,1.0,0.5940621314878416,0.8758902903734603,False,False,True,NK,,NK,NK,False,True,False
MZB1,18,True,1.0,1.0,1.0,0.594031058968858,0.1081469112621525,False,False,False,B_Plasma,,B_Plasma,B_Plasma,False,True,False
FABP4,19,True,1.0,1.0,1.0,0.5739362884092513,1.880116564215326,False,False,True,Macrophage_Alveolar,,Macrophage_Alveolar,Macrophage_Alveolar,False,True,False
ANKRD33B,20,True,1.0,1.0,1.0,0.5385163758447122,0.19082702834181645,False,False,False,DC_Mature,,DC_Mature,DC_Mature,False,True,False
MCTP2,21,True,1.0,1.0,1.0,0.5375169271173585,0.8399907918027542,False,False,True,ILC_A,,ILC_A,ILC_A,False,True,False
SFTPB,22,True,1.0,1.0,1.0,0.5263423808885759,0.8286437516980286,False,False,True,"Club,ATII",,"Club,ATII","Club,ATII",False,True,False
S100A8,23,True,1.0,1.0,1.0,0.515528162459887,2.7309806446859115,False,False,True,cMonocyte,,cMonocyte,cMonocyte,False,True,False
ITK,24,True,1.0,1.0,1.0,0.5098613369583777,0.799388530300617,False,False,True,T,,T,T,False,True,False
ENSG00000231873,25,True,1.0,1.0,1.0,0.4680823196157854,0.03632527019296969,False,False,False,,cDC1,cDC1,cDC1,False,True,False
CD247,26,True,1.0,1.0,1.0,0.4500303824744998,0.8415369738337363,False,False,True,"NK,T_Regulatory",,"NK,T_Regulatory","NK,T_Regulatory",False,True,False
ACKR1,27,True,1.0,1.0,1.0,0.4408648630102162,0.17478318109906382,False,False,False,,VE_Venous,VE_Venous,VE_Venous,False,True,False
IGFBP7,28,True,1.0,1.0,1.0,0.4147236170469579,0.8342579162410089,False,False,True,"Lymphatic,Pericyte",,"Lymphatic,Pericyte","Lymphatic,Pericyte",False,True,False
CCL5,29,True,1.0,1.0,1.0,0.39115982861064763,1.2406605473559278,False,False,True,T_Cytotoxic,,T_Cytotoxic,T_Cytotoxic,False,True,False
PARD3,30,True,1.0,1.0,1.0,0.3877696093612684,0.5160210593898931,False,False,False,,Multiplet,Multiplet,Multiplet,False,True,False
RGS1,31,True,1.0,1.0,1.0,0.38773302506688,1.9085958172586057,False,False,True,cDC2,,cDC2,cDC2,False,True,False
MGP,32,True,1.0,1.0,1.0,0.381351114489295,0.6611718427311939,False,False,True,,VE_Arterial,VE_Arterial,VE_Arterial,False,True,False
AREG,33,True,1.0,1.0,1.0,0.36739723672021524,2.680087227617508,False,False,True,"cDC2,ILC_B",,"cDC2,ILC_B","cDC2,ILC_B",False,True,False
HAS1,34,True,1.0,1.0,1.0,0.31271179571860613,0.11558574158544695,False,False,False,,Mesothelial,Mesothelial,Mesothelial,False,True,False
FCN1,35,True,1.0,1.0,1.0,0.2920699919625985,0.7421073341058837,False,False,True,"ncMonocyte,cMonocyte",,"ncMonocyte,cMonocyte","ncMonocyte,cMonocyte",False,True,False
IFI27,36,True,1.0,1.0,1.0,0.19309130884284031,1.1515833953728905,False,False,True,VE_Capillary_A,,VE_Capillary_A,VE_Capillary_A,False,True,False
RNASE1,37,True,1.0,1.0,1.0,0.061659047266267905,1.4066427747295565,False,False,True,,Macrophage,Macrophage,Macrophage,False,True,False
AFF3,38,True,1.0,2.0,1.0,0.4591994092709222,1.1863808789068881,False,False,True,"B,pDC",,"B,pDC","B,pDC",False,True,False
WFDC21P,39,True,1.0,2.0,1.0,0.31799316993863963,0.44348313995943145,False,False,False,"cDC1,DC_Mature",,"cDC1,DC_Mature","cDC1,DC_Mature",False,True,False
C1QA,40,True,1.0,2.0,1.0,0.3069534983100525,1.9442218038157424,False,False,True,Macrophage_Alveolar,,Macrophage_Alveolar,Macrophage_Alveolar,False,True,False
ENSG00000240040,41,True,1.0,2.0,1.0,0.3045337737434436,0.878212499919407,False,False,True,B_Plasma,,B_Plasma,B_Plasma,False,True,False
CD3D,42,True,1.0,2.0,1.0,0.2978418920391159,0.8091824987000671,False,False,True,,T_Cytotoxic,T_Cytotoxic,T_Cytotoxic,False,True,False
