COL1A1,Fibroblast-general
DCN,Fibroblast-general
ITGA8,Fibroblast-general
ACTA2,Fibroblast-general
RGS5,Pericyte
COX4I2,Pericyte
CCL21,Pericyte
RGS16,Pericyte
PLA2G2A,Adventitial fibroblast
IGFBP6,Adventitial fibroblast
GSN,Adventitial fibroblast
MFAP5,Adventitial fibroblast
PI16,Adventitial fibroblast
PLIN2,Adventitial fibroblast-lipo
HAS1,Adventitial fibroblast-lipo
INMT,Alveolar fibroblast
CES1,Alveolar fibroblast
SAA1,Alveolar fibroblast
SCN7A,Alveolar fibroblast
CYP4B1,Alveolar fibroblast
FIGF,Alveolar fibroblast
WIF1,Ductal fibroblast
ASPN,Ductal fibroblast
BCHE,Ductal fibroblast
CLU,Ductal fibroblast
ACTA2,Smooth muscle
TAGLN,Smooth muscle
MYH11,Smooth muscle
ACTG2,Airway smooth muscle
CNN1,Airway smooth muscle
SFRP2,Inflammatory 1 fibroblast
CCL2,Inflammatory 1 fibroblast
CXCL12,Inflammatory 1 fibroblast
SFRP4,Inflammatory 2 fibroblast
CXCL14,Inflammatory 2 fibroblast
PENK,Inflammatory 2 fibroblast
CTHRC1,Fibrotic fibroblast
POSTN,Fibrotic fibroblast
COL8A1,Fibrotic fibroblast
MMP11,Fibrotic fibroblast
